pattern,tag,cleaned_pattern
I feel down,sad,feel
What's the difference between sadness and depression?,fact-32,difference sadness depression
I am so useless,worthless,useless
probably because of my exams,problem,probably exams
My mom died,death,mom died
That's all i have to say,done,say
cheerful,happy,cheerful
Whatever,casual,whatever
I don't want to talk about it.,not-talking,want talk
How can I find a mental health professional right for my child or myself?,fact-18,find mental health professional right child
You can't possibly know what i'm going through,understand,ca possibly know going
Tell me about yourself,about,tell
Thanks,thanks,thanks
No one likes me.,worthless,one likes
I want to learn more about mental health.,learn-mental-health,want learn mental health
What is a therapist?,fact-6,therapist
Guten tag,greeting,guten tag
Nobody understands me.,understand,nobody understands
,no-response,
Wrong answer,wrong,wrong answer
I can't do anything.,worthless,ca anything
I feel great today.,happy,feel great today
Hey there,greeting,hey
I feel sad,sad,feel sad
My friend passed away,death,friend passed away
relationship,default,relationship
What is Depression?,fact-3,depression
I am so burned out,stressed,burned
family,default,family
How do i know if i have Depression?,fact-5,know depression
You don't like me,hate-me,like
Who are you?,about,
Good morning,morning,good morning
What is your name?,about,name
Than you very much,thanks,much
How were you created?,creation,created
What's the difference between anxiety and stress?,fact-31,difference anxiety stress
You don't understand me.,understand,understand
You're crazy,stupid,crazy
I need help,help,need help
I don't like you,hate-you,like
I need some advice.,user-advice,need advice
I am happy.,happy,happy
How were you made?,creation,made
I can't bring myself to open up.,not-talking,ca bring open
boyfriend,default,boyfriend
I'm good.,happy,good
I know you hate me,hate-me,know hate
That's helpful,thanks,helpful
"If I become involved in treatment, what do I need to know?",fact-16,become involved treatment need know
ok sure. i would like to learn more about it.,learn-more,ok sure would like learn
Where are you?,location,
Hi,greeting,hi
Is anyone there?,greeting,anyone
I feel happy.,happy,feel happy
Could you help me?,help,could help
I am suffering from insomnia,sleep,suffering insomnia
My dad passed away,death,dad passed away
friends,default,friends
I don't have any friends,friends,friends
yes,casual,yes
nice,casual,nice
I want to talk about something else,something-else,want talk something else
Wrong response,wrong,wrong response
Just shut up,not-talking,shut
What should I call you?,about,call
I want some advice.,user-advice,want advice
I am so stressed out,stressed,stressed
Bye then,goodbye,bye
How can I find a mental health professional for myself or my child?,fact-14,find mental health professional child
I need advice on something,user-advice,need advice something
Who you are?,about,
Ola,greeting,ola
What do I do if I'm worried about my mental health?,fact-28,worried mental health
I feel better now,user-meditation,feel better
Howdy,greeting,howdy
Thanks for the help,thanks,thanks help
girlfriend,default,girlfriend
Can you prevent mental health problems?,fact-25,prevent mental health problems
Are there cures for mental health problems?,fact-26,cures mental health problems
You are dumb,stupid,dumb
